poi_name,category,subcategory,lat,long,202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512,total_2025
Emmanuel Church,Cultural_Heritage,Church,51.3748384,-0.0167743,49,55,70,57,38,45,55,52,56,46,49,50,622 
Spiritualist Church,Cultural_Heritage,Church,51.3774846,-0.0202472,1795,1597,1662,1997,1671,1431,1366,1465,1492,1624,1499,1275,18874 
Christ Church,Cultural_Heritage,Church,51.3823656,-0.1092362,137,115,116,93,87,91,91,243,99,122,123,106,1423 
Croydon Minster,Cultural_Heritage,Church,51.3727519,-0.1061751,502,341,543,441,607,326,409,1009,659,622,496,493,6448 
St Michael and All Angels Church,Cultural_Heritage,Church,51.4078424,-0.0520672,64,100,74,70,79,81,136,115,129,98,92,116,1154 
"St George's Church, Beckenham",Cultural_Heritage,Church,51.4092,-0.0247,320,164,176,153,128,122,140,133,157,185,204,182,2064 
Church of the Nazarene,Cultural_Heritage,Church,51.3804552,-0.0868991,19425,16624,18279,18515,18390,15488,15575,19732,15698,17186,15349,14413,204674 
"St John the Evangelist, Upper Norwood",Cultural_Heritage,Church,51.4116002,-0.0802758,194,123,124,137,104,95,87,107,129,120,114,151,1485 
"Holy Innocents Church, South Norwood",Cultural_Heritage,Church,51.3971,-0.0795757,39,33,40,36,31,22,29,28,41,33,42,283,657 
"Christ Church, Gipsy Hill",Cultural_Heritage,Church,51.4216603,-0.0838676,71,53,49,38,50,68,53,68,65,48,55,52,670 
Holy Trinity Church,Cultural_Heritage,Church,51.4186706,-0.0487358,135,148,141,140,129,156,133,129,130,129,136,128,1634 
New Life Church,Cultural_Heritage,Church,51.309411,0.0367481,570,455,357,331,245,203,250,269,301,283,229,285,3778 
Jubilee Centre,Cultural_Heritage,Church,51.3959122,0.0378556,146,152,145,114,122,137,119,250,173,157,124,135,1774 
Christ Lutheran Church,Cultural_Heritage,Church,51.390627,0.095141,18,18,7,8,4,1,11,17,14,61,22,31,212 
King's Church,Cultural_Heritage,Church,51.4036122,0.1038381,87,59,81,64,82,59,51,92,86,58,75,61,855 
St. Mary's Church,Cultural_Heritage,Church,51.390775,0.11512,532,563,515,516,569,464,482,443,500,471,436,474,5965 
"St Mark's Church, Bromley",Cultural_Heritage,Church,51.3984698,0.0157707,94,74,85,75,79,70,76,112,193,341,416,411,2026 
St George's Church,Cultural_Heritage,Church,51.4391083,-0.0342185,217,151,219,271,225,200,274,243,251,269,210,294,2824 
