LSOA code (2011),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01000001,6.2,29199
E01000002,5.1,30379
E01000003,19.4,14915
E01000005,28.7,8678
E01032739,13.6,20391
E01032740,15.8,18089
E01000006,19.8,14486
E01000007,31.6,7256
E01000008,37.6,5010
E01000009,32.8,6736
E01000010,32.4,6900
E01000011,30.7,7698
E01000012,34.7,5990
E01000013,39.0,4573
E01000014,35.7,5650
E01000015,33.6,6405
E01000016,32.8,6739
E01000017,39.0,4570
E01000018,33.4,6504
E01000019,33.6,6410
E01000020,36.0,5520
E01000021,38.9,4611
E01000022,34.4,6098
E01000023,36.9,5243
E01000024,29.3,8333
E01000025,36.7,5303
E01000027,37.3,5097
E01000028,40.1,4240
E01000029,22.5,12389
E01000030,38.4,4760
E01000031,22.7,12267
E01000032,30.0,8037
E01000033,38.0,4879
E01000034,35.9,5575
E01000035,26.2,10070
E01000036,19.3,15028
E01000037,18.0,16128
E01000038,19.6,14671
E01000039,22.3,12542
E01000040,34.6,6028
E01000041,33.2,6601
E01000042,41.6,3842
E01000043,28.1,8992
E01000044,28.4,8825
E01000045,35.7,5639
E01000046,29.8,8138
E01000048,44.7,3117
E01000049,41.2,3928
E01000050,34.7,5994
E01000051,36.9,5228
E01000052,33.3,6549
E01000053,40.0,4249
E01000054,29.8,8124
E01000055,30.9,7604
E01000056,35.9,5571
E01000057,32.9,6712
E01000058,31.8,7176
E01000059,32.3,6950
E01000060,36.2,5475
E01000061,46.3,2802
E01000062,26.7,9781
E01000063,33.4,6520
E01000064,35.3,5791
E01000065,39.9,4296
E01000066,25.8,10329
E01000067,21.0,13573
E01000068,25.6,10421
E01000069,16.4,17580
E01000070,21.0,13531
E01000071,18.8,15370
E01000072,41.0,3974
E01000073,38.8,4645
E01000074,35.0,5870
E01000075,37.0,5215
E01000076,36.2,5451
E01000077,41.0,3967
E01000078,35.0,5874
E01000079,34.5,6057
E01000080,33.2,6596
E01000081,30.6,7738
E01000082,27.9,9100
E01000083,34.4,6111
E01000084,39.8,4315
E01000085,35.2,5838
E01000086,38.2,4822
E01000087,34.4,6122
E01000088,28.8,8574
E01000089,29.0,8508
E01000090,28.3,8873
E01000091,42.2,3669
E01000092,33.8,6348
E01000093,46.9,2669
E01000094,28.2,8930
E01000095,32.3,6984
E01000096,40.9,3997
E01000097,38.0,4866
E01000098,39.4,4455
E01000099,29.3,8373
E01000100,31.8,7152
E01000101,40.5,4126
E01000102,42.6,3557
E01000103,32.9,6708
E01000104,34.7,6002
E01000105,44.1,3229
E01000106,43.5,3355
E01000107,28.3,8865
E01000108,28.2,8940
E01000109,25.7,10373
E01000110,17.7,16365
E01000111,28.9,8544
E01000112,24.7,10925
E01000113,25.3,10601
E01000114,23.3,11855
E01032580,34.1,6215
E01033587,35.0,5880
E01033588,35.2,5808
E01000115,6.2,29174
E01000116,7.8,27318
E01000117,9.6,24958
E01000118,9.8,24743
E01000119,11.6,22657
E01000120,5.9,29572
E01000121,36.2,5463
E01000122,10.2,24308
E01000123,11.0,23278
E01000124,23.6,11634
E01000125,26.7,9759
E01000126,33.6,6407
E01000127,27.5,9275
E01000128,27.1,9555
E01000129,31.0,7554
E01000130,30.9,7621
E01000131,20.9,13623
E01000132,25.5,10459
E01000133,30.8,7660
E01000134,24.7,10969
E01000135,12.5,21585
E01000136,9.0,25840
E01000137,28.8,8611
E01000138,27.9,9114
E01000139,12.4,21727
E01000140,16.8,17164
E01000141,28.8,8601
E01000142,16.7,17305
E01000143,31.3,7380
E01000144,18.3,15833
E01000145,14.6,19310
E01000146,18.5,15647
E01000147,12.8,21282
E01000148,27.7,9213
E01000150,15.6,18371
E01000151,38.9,4606
E01000152,32.4,6908
E01000153,41.6,3826
E01000154,32.7,6805
E01000155,20.8,13700
E01000156,8.3,26669
E01000157,12.7,21431
E01000158,19.7,14606
E01000159,16.3,17696
E01000160,12.1,22025
E01000161,14.5,19434
E01000162,18.5,15689
E01000163,28.5,8744
E01000164,25.3,10557
E01000165,13.3,20782
E01000166,14.9,19054
E01000167,28.4,8854
E01000168,7.0,28357
E01000169,13.2,20813
E01000170,20.4,14031
E01000171,24.3,11210
E01000172,8.4,26533
E01000173,9.7,24872
E01000174,16.3,17685
E01000175,7.6,27536
E01000176,30.5,7768
E01000177,8.3,26742
E01000178,8.1,27008
E01000179,8.5,26462
E01000180,14.6,19391
E01000181,8.2,26821
E01000182,8.0,27057
E01000183,10.6,23760
E01000184,31.9,7110
E01000185,25.8,10299
E01000186,5.2,30326
E01000187,13.0,21042
E01000188,8.0,27036
E01000189,24.5,11051
E01000190,10.1,24311
E01000191,6.8,28527
E01000192,15.5,18475
E01000193,16.1,17828
E01000194,19.4,14920
E01000195,27.0,9593
E01000196,12.3,21850
E01000197,12.5,21591
E01000198,11.8,22353
E01000199,7.2,28042
E01000200,9.6,25046
E01000201,7.2,28084
E01000202,6.7,28623
E01000203,15.5,18422
E01000204,10.1,24436
E01000205,7.7,27397
E01000206,9.1,25629
E01000207,6.6,28804
E01000208,6.6,28766
E01000209,7.1,28249
E01000210,8.2,26833
E01000211,14.6,19377
E01000212,10.3,24145
E01000213,7.6,27586
E01000214,10.5,23881
E01000215,13.6,20414
E01000216,10.0,24507
E01000217,10.8,23520
E01000218,15.3,18612
E01000219,19.9,14460
E01000220,17.1,16891
E01000221,45.8,2878
E01000222,27.1,9539
E01000223,35.8,5606
E01000224,19.7,14638
E01000225,11.0,23364
E01000226,31.7,7222
E01000227,10.0,24577
E01000228,12.5,21621
E01000229,21.6,13079
E01000230,7.9,27204
E01000231,17.6,16447
E01000232,14.5,19413
E01000233,8.9,25991
E01000234,8.7,26226
E01000235,23.3,11811
E01000236,10.6,23808
E01000237,9.5,25066
E01000238,14.5,19485
E01000239,21.6,13120
E01000240,19.6,14717
E01000241,10.7,23646
E01000242,19.2,15111
E01000243,14.1,19861
E01000244,15.6,18293
E01000245,24.1,11312
E01000246,10.6,23751
E01000247,10.1,24330
E01000248,7.3,27938
E01000249,5.9,29613
E01000250,13.0,21023
E01000251,18.9,15365
E01000252,13.4,20654
E01000253,9.4,25200
E01000254,7.8,27346
E01000255,18.7,15471
E01000256,10.6,23742
E01000257,25.0,10770
E01000258,9.2,25595
E01000259,13.4,20665
E01000260,19.9,14473
E01000261,7.6,27512
E01000262,11.6,22595
E01000263,5.9,29609
E01000264,16.5,17488
E01000265,15.1,18822
E01000266,8.0,27042
E01000267,12.8,21327
E01000268,15.3,18670
E01000269,10.4,23965
E01000270,12.0,22199
E01000271,6.6,28725
E01000272,4.8,30661
E01000273,14.1,19790
E01000274,15.6,18373
E01000275,13.5,20490
E01000276,4.1,31443
E01000277,18.2,15935
E01000278,5.5,29998
E01000279,9.0,25843
E01000280,4.0,31544
E01000281,10.9,23416
E01000282,8.6,26321
E01000283,4.6,30858
E01000284,15.5,18467
E01000285,15.1,18783
E01000286,23.9,11433
E01000287,22.7,12242
E01000288,13.0,21005
E01000289,38.3,4786
E01000290,19.9,14405
E01000291,32.9,6697
E01000292,11.3,22974
E01000293,7.6,27550
E01000294,12.2,21893
E01000295,13.3,20731
E01000296,12.1,22036
E01000297,9.0,25783
E01000298,11.8,22372
E01000299,17.0,16989
E01000300,12.3,21880
E01000301,7.1,28246
E01000302,15.6,18360
E01000303,6.8,28555
E01000304,13.5,20455
E01000305,27.9,9115
E01000306,14.0,19906
E01000307,23.3,11835
E01000308,31.8,7151
E01000309,13.9,20046
E01000310,19.2,15067
E01000311,11.1,23246
E01000312,24.9,10806
E01000313,19.9,14409
E01000314,10.7,23679
E01000315,32.7,6785
E01000316,19.9,14454
E01000317,10.9,23497
E01000318,14.7,19218
E01000319,9.9,24628
E01000320,8.7,26150
E01000321,14.4,19535
E01000322,14.9,19048
E01000323,18.8,15389
E01000324,13.8,20202
E01033572,22.2,12628
E01033573,17.9,16181
E01000325,5.9,29599
E01000326,12.0,22206
E01000327,7.7,27457
E01000328,11.4,22853
E01000329,15.9,18060
E01000330,17.9,16254
E01000331,28.3,8888
E01000332,16.1,17857
E01000333,25.9,10270
E01000334,13.0,21066
E01000335,31.7,7186
E01000336,31.4,7373
E01000337,19.6,14747
E01000338,18.9,15333
E01000339,16.3,17653
E01000340,12.8,21230
E01000341,8.9,25941
E01000342,8.9,25891
E01000343,8.3,26633
E01000344,6.1,29332
E01000345,6.3,29145
E01000346,9.7,24927
E01000347,11.2,23128
E01000348,5.0,30525
E01000349,7.5,27736
E01000350,7.9,27197
E01000351,7.6,27580
E01000352,14.8,19159
E01000353,5.2,30316
E01000354,21.3,13302
E01000355,8.2,26842
E01000356,7.9,27128
E01000357,4.1,31429
E01000358,6.2,29282
E01000359,6.2,29254
E01000360,18.7,15534
E01000361,11.3,23027
E01000362,12.6,21457
E01000363,9.3,25379
E01000364,12.7,21389
E01000365,14.4,19555
E01000366,9.9,24683
E01000367,30.9,7599
E01000368,33.9,6298
E01000369,14.6,19297
E01000370,11.4,22899
E01000371,8.2,26858
E01000372,29.9,8063
E01000373,29.3,8331
E01000374,42.4,3624
E01000375,18.3,15879
E01000376,16.2,17727
E01000377,12.3,21848
E01000378,21.2,13369
E01000379,18.6,15579
E01000380,23.3,11840
E01000381,27.8,9141
E01000382,6.4,28932
E01000383,21.1,13501
E01000384,12.1,22083
E01000385,32.3,6958
E01000386,41.6,3835
E01000387,12.3,21777
E01000388,10.8,23585
E01000389,11.2,23070
E01000390,10.2,24292
E01000391,13.9,20043
E01000392,22.9,12119
E01000393,9.2,25584
E01000394,9.3,25359
E01000395,5.0,30471
E01000396,8.1,26986
E01000398,20.0,14343
E01000399,9.1,25650
E01000400,14.7,19222
E01000401,21.1,13478
E01000402,23.5,11661
E01000403,29.5,8247
E01000404,30.1,7988
E01000405,28.9,8556
E01000406,23.3,11865
E01000407,14.6,19290
E01000408,23.8,11511
E01000409,5.9,29535
E01000410,7.5,27698
E01000411,9.6,24984
E01000412,8.6,26294
E01000413,11.0,23374
E01000414,13.6,20333
E01000415,6.2,29162
E01000416,25.3,10611
E01000417,19.6,14752
E01000418,18.7,15526
E01000419,8.7,26164
E01000420,11.2,23155
E01000421,7.2,28043
E01000422,35.9,5556
E01000423,5.6,29890
E01000424,6.8,28573
E01000425,6.5,28921
E01000426,10.3,24090
E01000427,12.9,21182
E01000428,23.9,11429
E01000429,42.5,3591
E01000430,16.5,17477
E01000431,36.1,5493
E01000432,24.4,11135
E01000433,35.5,5702
E01000434,38.2,4809
E01000435,31.2,7461
E01000436,5.0,30492
E01000437,13.7,20296
E01000438,14.0,19919
E01000439,23.8,11510
E01000440,7.7,27367
E01000441,29.0,8484
E01000442,13.9,20054
E01000443,18.2,15949
E01000444,6.8,28530
E01000445,5.8,29687
E01000446,6.2,29153
E01000447,10.4,24076
E01000448,3.2,32132
E01000449,5.4,30072
E01000450,18.0,16089
E01000451,7.5,27695
E01000452,7.5,27715
E01000453,8.0,27021
E01000454,18.6,15605
E01000455,8.2,26845
E01000456,6.1,29319
E01000457,12.1,22056
E01000458,5.6,29877
E01000459,14.4,19511
E01000460,5.1,30405
E01000461,7.1,28207
E01000462,14.3,19613
E01000463,5.1,30387
E01000464,25.5,10479
E01000465,28.7,8670
E01000466,23.4,11745
E01000467,18.6,15630
E01000468,20.9,13661
E01000469,19.9,14434
