msoa,imd,ptal,density,density_source
E02000001,14.799999999999999,75.72033333333333,2975.0,direct
E02000002,34.575,3.55286,3831.0,direct
E02000003,24.883333333333336,7.589008333333333,5389.7,direct
E02000004,23.95,4.0482225,2663.6,direct
E02000005,30.939999999999998,6.265692,9327.5,direct
E02000007,36.5,4.92192,5854.4,direct
E02000008,34.8,5.956887142857143,9331.6,direct
E02000009,36.199999999999996,6.492025000000001,13380.5,direct
E02000010,34.660000000000004,6.973296,8458.9,direct
E02000011,25.5,6.5973325,4410.6,direct
E02000012,20.6,7.159504,8852.6,direct
E02000013,35.980000000000004,6.775754000000001,7203.7,direct
E02000014,36.699999999999996,10.806365,8269.8,direct
E02000015,38.8,6.245,6042.0,direct
E02000016,34.075,22.302572500000004,11925.1,direct
E02000017,27.459999999999997,23.680259999999997,10419.9,direct
E02000018,36.260000000000005,6.171598,7034.9,direct
E02000019,32.14,5.374274,3187.3,direct
E02000020,32.9,10.027184000000002,4116.3,direct
E02000021,32.1,4.673579999999999,3043.2,direct
E02000022,38.6,8.480369999999999,10270.7,direct
E02000023,39.55,4.0192475,4594.6,direct
E02000024,8.816666666666666,7.670979166666666,2888.2,direct
E02000025,16.279999999999998,5.87367,3573.0,direct
E02000026,10.875,5.5607875,4404.8,direct
E02000027,22.366666666666664,5.401221666666667,5761.1,direct
E02000028,12.625,10.4726975,6189.5,direct
E02000029,15.66,7.615104,5745.1,direct
E02000030,13.116666666666665,2.381291,648.7,direct
E02000031,9.0,9.63424,4296.5,direct
E02000032,8.34,6.368684,5679.6,direct
E02000033,18.04,6.660702000000001,5007.0,direct
E02000034,12.459999999999999,5.419524,5831.7,direct
E02000035,13.24,7.593262,6573.2,direct
E02000036,16.25,4.397641666666667,6265.1,direct
E02000037,11.266666666666666,4.922799666666667,2505.6,direct
E02000038,15.816666666666668,7.485601666666667,6082.0,direct
E02000039,10.55,6.6840475,3362.3,direct
E02000040,15.725,3.4419525,1772.8,direct
E02000041,18.54,13.960982000000001,7008.4,direct
E02000042,14.883333333333333,11.865765000000001,9531.6,direct
E02000043,7.4,7.172948,5157.7,direct
E02000044,23.84,11.095874,7986.3,direct
E02000045,20.133333333333336,6.199224999999999,6065.4,direct
E02000046,12.425,13.249425,7170.7,direct
E02000047,26.316666666666666,13.664066666666665,8715.6,direct
E02000048,12.48,4.697875999999999,3334.0,direct
E02000049,35.839999999999996,5.496702000000001,13360.4,direct
E02000050,18.216666666666665,4.40088,4893.4,direct
E02000051,10.26,8.164488,6322.0,direct
E02000052,12.233333333333334,8.045824999999999,10163.0,direct
E02000053,20.28,8.664202,12499.85,msoa11_msoa21_bridge
E02000054,16.45,5.955947500000001,5086.0,direct
E02000055,15.533333333333333,10.532941666666668,8140.7,direct
E02000056,8.116666666666665,4.5342416666666665,2829.1,direct
E02000057,13.85,9.7804325,7322.5,direct
E02000058,10.083333333333334,6.764925000000001,5639.7,direct
E02000059,22.349999999999998,7.294425,5298.8,direct
E02000060,15.25,12.755398333333334,9376.2,direct
E02000061,13.76,19.47782,5257.7,direct
E02000062,33.425,13.19185,3785.4,direct
E02000063,22.85,9.8078425,7309.9,direct
E02000064,22.325,12.526299999999999,8402.4,direct
E02000065,20.7,4.78671,2519.8,direct
E02000066,28.73333333333333,8.670358333333333,5995.7,direct
E02000067,25.5,6.08266,4431.3,direct
E02000068,28.075,6.75424,3607.0,direct
E02000069,19.375,4.8816675,4969.3,direct
E02000070,13.280000000000001,4.601214000000001,4370.2,direct
E02000071,17.64,3.5544260000000003,6509.4,direct
E02000072,31.785714285714285,4.375145714285714,2952.4,direct
E02000073,8.342857142857143,5.5723142857142856,6704.2,direct
E02000074,29.839999999999996,4.132832,7851.3,direct
E02000075,9.18,6.421791999999999,5201.3,direct
E02000077,12.4,5.953799999999999,7283.6,direct
E02000078,10.42,6.337986,5331.7,direct
E02000079,12.98,14.631380000000002,5321.9,direct
E02000080,11.5,8.530863333333334,5949.3,direct
E02000081,16.240000000000002,8.975996,3765.9,direct
E02000082,8.833333333333334,4.279535,6234.0,direct
E02000083,21.5,3.995136666666667,3013.2,direct
E02000084,9.1,5.387188571428571,4285.5,direct
E02000085,11.5,3.7287939999999997,4903.3,direct
E02000086,7.5,3.6353299999999997,4822.0,direct
E02000087,7.7,5.411542,2209.0,direct
E02000088,8.98,6.16573,3877.3,direct
E02000089,7.92,4.256796,5753.5,direct
E02000090,11.280000000000001,9.584724,5326.6,direct
E02000091,12.450000000000001,6.945461666666667,3718.2,direct
E02000092,30.700000000000003,3.095802,1127.0,direct
E02000093,18.45,7.9421083333333335,8624.0,direct
E02000094,19.240000000000002,7.482906,8989.3,direct
E02000095,19.34,7.81208,6754.3,direct
E02000096,11.120000000000001,7.369064,4666.5,direct
E02000097,19.380000000000003,3.73166,5094.1,direct
E02000098,22.66,6.118252,4755.0,direct
E02000099,17.28,7.819016,7426.4,direct
E02000100,11.82,6.534134,4003.6,direct
E02000101,26.54,9.229284,7078.6,direct
E02000102,33.95,4.9200575,6126.2,direct
E02000103,28.76,7.072124,5628.1,direct
E02000104,22.925,10.6483025,6774.7,direct
E02000105,21.48,7.4059479999999995,7185.9,direct
E02000106,33.1,11.401634999999999,7719.2,direct
E02000107,24.71666666666667,14.856695,11458.0,direct
